Date,Open,High,Low,Close,Volume,Adj. Close
03-01-17,757.92,758.7595,747.7,753.67,3521066,753.67
04-01-17,758.39,759.68,754.2,757.18,2510526,757.18
05-01-17,761.55,782.3999,760.2557,780.45,5830068,780.45
06-01-17,782.36,799.44,778.48,795.99,5986234,795.99
09-01-17,798,801.7742,791.77,796.92,3446109,796.92
10-01-17,796.6,798,789.5434,795.9,2558369,795.9
11-01-17,793.66,799.5,789.51,799.02,2992791,799.02
12-01-17,800.31,814.13,799.5,813.64,4873922,813.64
13-01-17,814.32,821.65,811.4,817.14,3791945,817.14
17-01-17,815.7,816,803.44,809.72,3670529,809.72
18-01-17,809.5,811.73,804.27,807.48,2354201,807.48
19-01-17,810,813.51,807.32,809.04,2540784,809.04
20-01-17,815.28,816.02,806.26,808.33,3376196,808.33
23-01-17,806.8,818.5,805.08,817.88,2797474,817.88
24-01-17,822,823.99,814.5,822.44,2971740,822.44
25-01-17,825.79,837.4183,825.288,836.52,4023078,836.52
26-01-17,835.53,843.84,833,839.15,3586323,839.15
27-01-17,839,839.7,829.44,835.77,2998700,835.77
30-01-17,833,833.5,816.38,830.38,3747336,830.38
31-01-17,823.75,826.99,819.56,823.48,3137196,823.48
01-02-17,829.21,833.78,824.94,832.35,3850181,832.35
02-02-17,836.59,842.49,828.26,839.95,7350492,839.95
03-02-17,806.72,818.3,804,810.2,10868773,810.2
06-02-17,809.8,810.72,803,807.64,3897301,807.64
07-02-17,809.31,816.16,807.5,812.5,3466091,812.5
08-02-17,812.69,821.479,812.5,819.71,2857985,819.71
09-02-17,821.6,825,819.71,821.36,2484948,821.36
10-02-17,823.82,828,822.85,827.46,2429609,827.46
13-02-17,831.62,842.9999,828.55,836.53,4172618,836.53
14-02-17,837,838.31,831.4522,836.39,2792442,836.39
15-02-17,834,842.81,832.82,842.7,2968853,842.7
16-02-17,841.84,845,839.375,844.14,2714667,844.14
17-02-17,842,847.27,840.73,845.07,3112275,845.07
21-02-17,848.84,857.98,847.25,856.44,3507742,856.44
22-02-17,856.95,858.43,852.18,855.61,2616971,855.61
23-02-17,857.57,860.86,848,852.19,3461984,852.19
24-02-17,844.69,845.81,837.7501,845.24,3687963,845.24
27-02-17,842.38,852.5,839.67,848.64,2713627,848.64
28-02-17,851.45,854.09,842.05,845.04,2793709,845.04
01-03-17,853.05,854.83,849.01,853.08,2760083,853.08
02-03-17,853.08,854.82,847.28,848.91,2132098,848.91
03-03-17,847.2,851.985,846.27,849.88,1951575,849.88
06-03-17,845.23,848.49,841.12,846.61,2610370,846.61
07-03-17,845.48,848.46,843.75,846.02,2247554,846.02
08-03-17,848,853.07,846.79,850.5,2288317,850.5
09-03-17,851,856.3999,850.31,853,2048187,853
10-03-17,857,857.35,851.72,852.46,2436434,852.46
13-03-17,851.77,855.69,851.71,854.59,1909672,854.59
14-03-17,853.55,853.75,847.55,852.53,2130586,852.53
15-03-17,854.33,854.45,847.11,852.97,2562176,852.97
16-03-17,855.3,855.5,850.51,853.42,1842296,853.42
17-03-17,853.49,853.83,850.64,852.31,3384403,852.31
20-03-17,851.51,857.8,851.01,856.97,2282727,856.97
21-03-17,858.84,862.795,841.31,843.2,4382852,843.2
22-03-17,840.43,849.37,839.05,848.06,2658669,848.06
23-03-17,848.2,850.89,844.8,847.38,1952964,847.38
24-03-17,851.68,851.8,843.53,845.61,2138269,845.61
27-03-17,838.07,850.3,833.5,846.82,2755775,846.82
28-03-17,851.75,858.46,850.1,856,3041633,856
29-03-17,859.05,876.438,859.02,874.32,4485770,874.32
30-03-17,874.95,877.06,871.66,876.34,2762730,876.34
31-03-17,877,890.35,876.65,886.54,3957612,886.54
03-04-17,888,893.49,885.42,891.51,3422328,891.51
04-04-17,891.5,908.5384,890.28,906.83,4984656,906.83
05-04-17,910.82,923.72,905.62,909.28,7508370,909.28
06-04-17,913.8,917.1899,894.4927,898.28,6344065,898.28
07-04-17,899.65,900.09,889.31,894.88,3707367,894.88
10-04-17,899.63,908.51,899,907.04,3184301,907.04
11-04-17,907.04,911.24,897.5,902.36,3012743,902.36
12-04-17,903.09,904.09,895.2501,896.23,2456140,896.23
13-04-17,891.45,894.97,884.49,884.67,3174583,884.67
17-04-17,887.5,902.38,887.5,901.99,2854673,901.99
18-04-17,900.99,909.61,900.78,903.78,2999238,903.78
19-04-17,907.84,910.5,897.369,899.2,2870242,899.2
20-04-17,899.7,905.32,896.29,902.06,2814441,902.06
21-04-17,902.67,903.65,896.77,898.53,2420494,898.53
24-04-17,908.68,909.99,903.82,907.41,3118123,907.41
25-04-17,907.04,909.48,903,907.62,3367734,907.62
26-04-17,910.3,915.749,907.56,909.29,2562595,909.29
27-04-17,914.39,921.86,912.11,918.76,4255693,918.76
28-04-17,948.83,949.59,924.3335,924.99,7278819,924.99
01-05-17,927.8,954.4,927.8,948.43,5415793,948.43
02-05-17,946.645,950.1,941.413,946.68,3800912,946.68
