date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-10-17,205.1302,205.419,204.2446,204.4468,58275674,58275674,-0.712359,-0.347,204.684,"Oct 17, 16",0
2016-10-18,206.2373,206.3047,205.3035,205.7271,76869656,76869656,1.2803,0.626,205.8329,"Oct 18, 16",0.006262264804340352
2016-10-19,206.0255,206.6223,205.6212,206.2758,66519224,66519224,0.548709,0.267,206.2354,"Oct 19, 16",0.008946092577629034
2016-10-20,205.8811,206.5164,205.1495,205.8907,73639830,73639830,-0.385058,-0.187,205.8363,"Oct 20, 16",0.007062472975854909
2016-10-21,205.0051,206.0832,204.8126,205.987,89089092,89089092,0.096265,0.047,205.5398,"Oct 21, 16",0.007533500157498179
2016-10-24,206.9689,207.2769,206.4683,206.863,60146592,60146592,0.876007,0.425,206.878,"Oct 24, 16",0.011818233398615208
2016-10-25,206.6608,206.9496,205.987,206.1699,66542329,66542329,-0.693105,-0.335,206.3126,"Oct 25, 16",0.008428109415261165
2016-10-26,205.2457,206.4105,204.9762,205.756,75705478,75705478,-0.413937,-0.201,205.6429,"Oct 26, 16",0.006403621871313242
2016-10-27,206.5646,206.6031,205.1206,205.2072,77220213,77220213,-0.54871,-0.267,205.5738,"Oct 27, 16",0.003719304973225329
2016-10-28,205.1784,205.9389,203.8018,204.6008,140623183,140623183,-0.606465,-0.296,204.7394,"Oct 28, 16",0.0007532521907899579
2016-10-31,204.9762,205.2265,204.4275,204.6104,61272507,61272507,0.009628,0.005,204.7493,"Oct 31, 16",0.0008002081715145574
2016-11-01,204.9762,205.034,201.7706,203.1279,122781818,122781818,-1.4825,-0.725,203.1043,"Nov 1, 16",-0.0064510669768369335
2016-11-02,202.7814,203.2146,201.4144,201.9054,103330806,103330806,-1.2226,-0.602,202.2684,"Nov 2, 16",-0.012430617647231506
2016-11-03,202.146,202.3867,200.6732,200.9812,88939346,88939346,-0.924141,-0.458,201.4669,"Nov 3, 16",-0.016951109041569715
2016-11-04,201.1064,202.0498,200.5962,200.7598,109122059,109122059,-0.221409,-0.11,201.2239,"Nov 4, 16",-0.01803403134703005
2016-11-07,203.5515,205.2265,203.4071,205.188,109794861,109794861,4.4282,2.206,204.4628,"Nov 7, 16",0.00362539301177613
2016-11-08,204.7452,206.7475,204.4468,206.1121,106772138,106772138,0.924141,0.45,205.8084,"Nov 8, 16",0.008145395281315247
