,Date,Low,High,Close,Open
5234,2018-10-19,354.205,359.87,356.26,359.8
5233,2018-10-18,356.76,367.76,359.35,364.82
5232,2018-10-17,362.7,368.5,365.5,368.0
5231,2018-10-16,358.55,368.57,368.25,360.45
5230,2018-10-15,355.5,362.55,358.88,359.46
5229,2018-10-12,352.26,367.12,360.11,366.01
5228,2018-10-11,355.1,369.85,358.11,363.44
5227,2018-10-10,367.09,383.8,367.47,382.96
5226,2018-10-09,381.14,386.82,385.44,384.37
5225,2018-10-08,377.35,386.73,385.77,383.84
5224,2018-10-05,383.03,392.39,386.47,389.0
5223,2018-10-04,385.29,391.09,389.99,390.74
5222,2018-10-03,386.69,394.28,392.3,388.9
5221,2018-10-02,379.77,388.615,386.37,380.85
5220,2018-10-01,375.0,383.21,382.29,375.16
5219,2018-09-28,366.22,374.22,371.9,368.63
5218,2018-09-27,364.4,368.97,367.39,368.4
5217,2018-09-26,364.32,368.5601,365.03,367.5
5216,2018-09-25,366.88,370.46,367.23,369.08
5215,2018-09-24,367.33,371.8927,367.99,371.0
5214,2018-09-21,366.05,372.565,372.23,369.4
5213,2018-09-20,365.67,371.73,367.46,368.74
5212,2018-09-19,363.19,371.23,365.22,363.58
5211,2018-09-18,356.1,365.81,363.58,357.3
5210,2018-09-17,354.54,361.3,355.96,359.28
5209,2018-09-14,356.1,362.26,359.8,356.44
5208,2018-09-13,354.3,360.42,355.46,356.36
5207,2018-09-12,344.605,355.04,353.41,345.0
5206,2018-09-11,337.31,346.62,345.25,339.01
5205,2018-09-10,341.68,350.75,341.86,349.49
5204,2018-09-07,344.46,350.01,349.28,348.82
5203,2018-09-06,346.58,353.35,351.27,347.55
5202,2018-09-05,343.16,347.25,346.68,345.77
5201,2018-09-04,339.28,346.32,346.25,341.6
5200,2018-08-31,341.58,345.85,342.79,345.05
5199,2018-08-30,345.7501,350.95,346.9,350.35
5198,2018-08-29,349.21,352.35,350.19,352.26
5197,2018-08-28,350.61,355.68,351.21,355.0
5196,2018-08-27,351.01,355.0,353.74,352.11
