,Column,city,job_title,company_name,summary,salary_lower,salary_upper
0,0,sydney,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
1,1,sydney,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
2,2,sydney,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
3,3,sydney,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
4,4,sydney,Data Analyst,Amazon.com,As a Data Analyst,0,0
5,5,sydney,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
6,6,sydney,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
7,7,sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
8,8,sydney,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
9,9,sydney,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
10,10,sydney,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
11,11,sydney,Data Analyst,Munich Re,Data Analyst,0,0
12,12,sydney,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
13,13,sydney,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
14,14,sydney,Data Analyst,Robert Half Australia,As the Data Analyst,600,
15,15,sydney,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
16,16,Ultimo,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
17,17,Ultimo,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
18,18,Ultimo,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
19,19,Ultimo,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
20,20,Ultimo,Data Analyst,Amazon.com,As a Data Analyst,0,0
21,21,Ultimo,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
22,22,Ultimo,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
23,23,Ultimo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
24,24,Ultimo,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
25,25,Ultimo,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
26,26,Ultimo,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
27,27,Ultimo,Data Analyst,Munich Re,Data Analyst,0,0
28,28,Ultimo,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
29,29,Ultimo,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
30,30,Ultimo,Data Analyst,Robert Half Australia,As the Data Analyst,600,
31,31,Ultimo,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
32,32,sydney,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
33,33,sydney,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
34,34,sydney,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
35,35,sydney,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
36,36,sydney,Data Analyst,Amazon.com,As a Data Analyst,0,0
37,37,sydney,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
38,38,sydney,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
39,39,sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
40,40,sydney,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
41,41,sydney,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
42,42,sydney,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
43,43,sydney,Data Analyst,Munich Re,Data Analyst,0,0
44,44,sydney,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
45,45,sydney,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
46,46,sydney,Data Analyst,Robert Half Australia,As the Data Analyst,600,
47,47,sydney,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
48,48,Darlinghurst+NSW,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
49,49,Darlinghurst+NSW,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
50,50,Darlinghurst+NSW,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
51,51,Darlinghurst+NSW,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
52,52,Darlinghurst+NSW,Data Analyst,Amazon.com,As a Data Analyst,0,0
53,53,Darlinghurst+NSW,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
54,54,Darlinghurst+NSW,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
55,55,Darlinghurst+NSW,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
56,56,Darlinghurst+NSW,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
57,57,Darlinghurst+NSW,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
58,58,Darlinghurst+NSW,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
59,59,Darlinghurst+NSW,Data Analyst,Munich Re,Data Analyst,0,0
60,60,Darlinghurst+NSW,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
61,61,Darlinghurst+NSW,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
62,62,Darlinghurst+NSW,Data Analyst,Robert Half Australia,As the Data Analyst,600,
63,63,Darlinghurst+NSW,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
64,64,Barangaroo,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
65,65,Barangaroo,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
66,66,Barangaroo,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
67,67,Barangaroo,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
68,68,Barangaroo,Data Analyst,Amazon.com,As a Data Analyst,0,0
69,69,Barangaroo,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
70,70,Barangaroo,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
71,71,Barangaroo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
72,72,Barangaroo,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
73,73,Barangaroo,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
74,74,Barangaroo,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
75,75,Barangaroo,Data Analyst,Munich Re,Data Analyst,0,0
76,76,Barangaroo,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
77,77,Barangaroo,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
78,78,Barangaroo,Data Analyst,Robert Half Australia,As the Data Analyst,600,
79,79,Barangaroo,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
80,80,Mascot,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
81,81,Mascot,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
82,82,Mascot,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
83,83,Mascot,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
84,84,Mascot,Data Analyst,Amazon.com,As a Data Analyst,0,0
85,85,Mascot,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
86,86,Mascot,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
87,87,Mascot,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
88,88,Mascot,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
89,89,Mascot,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
90,90,Mascot,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
91,91,Mascot,Data Analyst,Munich Re,Data Analyst,0,0
92,92,Mascot,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
93,93,Mascot,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
94,94,Mascot,Data Analyst,Robert Half Australia,As the Data Analyst,600,
95,95,Mascot,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
96,96,Parramatta,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
97,97,Parramatta,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
98,98,Parramatta,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
99,99,Parramatta,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
100,100,Parramatta,Data Analyst,Amazon.com,As a Data Analyst,0,0
101,101,Parramatta,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
102,102,Parramatta,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
103,103,Parramatta,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
104,104,Parramatta,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
105,105,Parramatta,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
106,106,Parramatta,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
107,107,Parramatta,Data Analyst,Munich Re,Data Analyst,0,0
