,city,job_title,company_name,summary,salary_lower,salary_upper,mean_salary
0,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
1,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
3,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
4,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
5,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
6,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
7,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
8,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
9,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
10,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
11,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
12,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
13,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
14,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
15,Ultimo,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
16,Ultimo,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
18,Ultimo,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
19,Ultimo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
20,Ultimo,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
21,Ultimo,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
22,Ultimo,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
23,Ultimo,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
24,Ultimo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
25,Ultimo,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
26,Ultimo,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
27,Ultimo,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
28,Ultimo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
29,Ultimo,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
30,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
31,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
33,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
34,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
35,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
36,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
37,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
38,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
39,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
40,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
41,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
42,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
43,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
44,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
45,Darlinghurst,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
46,Darlinghurst,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
48,Darlinghurst,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
49,Darlinghurst,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
50,Darlinghurst,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
51,Darlinghurst,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
52,Darlinghurst,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
53,Darlinghurst,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
54,Darlinghurst,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
55,Darlinghurst,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
56,Darlinghurst,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
57,Darlinghurst,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
58,Darlinghurst,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
59,Darlinghurst,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
