,city,job_title,company_name,summary,salary
1,Sydney,Data Scientist,Domain Group,As a Data Scientist,salary
2,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
3,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
4,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
5,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
6,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
7,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
8,Sydney,Data Scientist,DataRobot,Data Scientist,salary
9,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
10,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
11,Sydney,Data Scientist,Freshwater Group,The Data Scientist,salary
12,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
13,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
14,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
15,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
16,Ultimo,Data Scientist,Domain Group,As a Data Scientist,salary
17,Ultimo,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
18,Ultimo,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
19,Ultimo,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
20,Ultimo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
21,Ultimo,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
22,Ultimo,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
23,Ultimo,Data Scientist,DataRobot,Data Scientist,salary
24,Ultimo,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
25,Ultimo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
26,Ultimo,Data Scientist,Freshwater Group,The Data Scientist,salary
27,Ultimo,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
28,Ultimo,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
29,Ultimo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
30,Ultimo,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
31,Sydney,Data Scientist,Domain Group,As a Data Scientist,salary
32,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
33,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
34,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
35,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
36,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
37,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
38,Sydney,Data Scientist,DataRobot,Data Scientist,salary
39,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
40,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
41,Sydney,Data Scientist,Freshwater Group,The Data Scientist,salary
42,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
43,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
44,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
45,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
46,Darlinghurst,Data Scientist,Domain Group,As a Data Scientist,salary
47,Darlinghurst,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
48,Darlinghurst,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
49,Darlinghurst,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
50,Darlinghurst,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
51,Darlinghurst,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
52,Darlinghurst,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
53,Darlinghurst,Data Scientist,DataRobot,Data Scientist,salary
54,Darlinghurst,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
55,Darlinghurst,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
56,Darlinghurst,Data Scientist,Freshwater Group,The Data Scientist,salary
57,Darlinghurst,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
58,Darlinghurst,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
59,Darlinghurst,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
60,Darlinghurst,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
61,Barangaroo,Data Scientist,Domain Group,As a Data Scientist,salary
62,Barangaroo,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
63,Barangaroo,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
64,Barangaroo,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
65,Barangaroo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
66,Barangaroo,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
67,Barangaroo,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
68,Barangaroo,Data Scientist,DataRobot,Data Scientist,salary
69,Barangaroo,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
70,Barangaroo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
71,Barangaroo,Data Scientist,Freshwater Group,The Data Scientist,salary
72,Barangaroo,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
73,Barangaroo,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
74,Barangaroo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
75,Barangaroo,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
76,Mascot,Data Scientist,Domain Group,As a Data Scientist,salary
77,Mascot,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
