,city,job_title,company_name,summary,salary_lower,salary_upper
0,Sydney,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
1,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
2,Sydney,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
3,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
4,Sydney,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
5,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
6,Sydney,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
7,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
8,Sydney,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
9,Sydney,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
10,Sydney,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
11,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
12,Sydney,Data Scientist,Caltex, a Data Scientist,salary,
13,Sydney,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
14,Sydney,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
15,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
16,Ultimo,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
17,Ultimo,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
18,Ultimo,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
19,Ultimo,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
20,Ultimo,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
21,Ultimo,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
22,Ultimo,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
23,Ultimo,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
24,Ultimo,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
25,Ultimo,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
26,Ultimo,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
27,Ultimo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
28,Ultimo,Data Scientist,Caltex, a Data Scientist,salary,
29,Ultimo,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
30,Ultimo,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
31,Ultimo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
32,Sydney,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
33,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
